gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Adipor1,2.1297572475460847e-12,-0.2691057285154742,0.214,0.434,4.472490219846778e-8
Iffo1,2.219144022100769e-12,-0.31591519665728823,0.115,0.275,4.6602024464116156e-8
U2af1,2.3526331639823412e-12,0.514129715340965,0.691,0.64,4.9405296443629165e-8
Parm1,2.369930451875285e-12,-0.2894760077547401,0.115,0.279,4.976853948938099e-8
Rap1gds1,2.418440510600659e-12,-0.3272410158254184,0.169,0.356,5.078725072261384e-8
Camk1,2.4700691061751194e-12,-0.32088128636220725,0.092,0.242,5.1871451229677507e-8
Pdcd4,2.604019601088778e-12,-0.3007419701563423,0.041,0.154,5.468441162286434e-8
Coasy,2.771957062583449e-12,-0.29042097229879815,0.161,0.348,5.821109831425243e-8
Srsf3,2.8718580143185783e-12,0.6793668835837123,0.517,0.434,6.030901830069015e-8
Kdm6b,2.90998544536993e-12,-0.32944395607527316,0.035,0.14,6.110969435276853e-8
Cdk12,2.927372878101198e-12,-0.29459716395914437,0.052,0.174,6.147483044012517e-8
Prom1,3.0028202749415607e-12,-0.37386340142815044,0.029,0.129,6.305922577377277e-8
Pcolce2,3.1660253315683493e-12,0.5289582380758205,0.138,0.026,6.648653196293534e-8
Cd81,3.2504465807145116e-12,-0.2895788800239112,1,1,6.825937819500474e-8
Cct7,3.453924712435834e-12,0.48852207646981594,0.707,0.678,7.253241896115252e-8
Enpp2,3.547837784783428e-12,0.2800652903288863,0.992,0.994,7.450459348045199e-8
Gprc5b,3.9500908936569625e-12,0.5389748346739651,0.62,0.556,8.295190876679621e-8
Patz1,4.283236910925613e-12,-0.2852530002421241,0.09,0.234,8.994797512943787e-8
Herpud2,5.381695795504129e-12,-0.2794170047712118,0.078,0.215,1.130156117055867e-7
Pdcd5,5.808031412444754e-12,-0.38746676546269865,0.407,0.635,1.2196865966133983e-7
Ppp1cb,6.0201580123991285e-12,-0.2942965311741549,0.223,0.434,1.264233182603817e-7
1810058I24Rik,6.2503159908659616e-12,-0.3681076604520286,0.499,0.757,1.312566358081852e-7
Srp19,6.469499164945575e-12,-0.3837133951069096,0.417,0.652,1.3585948246385708e-7
Wtap,6.9820575425962085e-12,-0.3634538908625516,0.059,0.18,1.4662320839452038e-7
Tubb3,7.50085683696656e-12,0.8389612105018895,0.517,0.403,1.5751799357629776e-7
Poldip2,8.317537538430673e-12,-0.2909311718030612,0.123,0.287,1.7466828830704412e-7
Ncor2,8.644977910523674e-12,-0.33731100464963676,0.132,0.292,1.8154453612099716e-7
Gng5,8.760749266800074e-12,-0.4027067254051697,0.421,0.663,1.8397573460280155e-7
Gabarapl2,1.0278965452804762e-11,0.3183558835858453,0.925,0.946,2.158582745089e-7
Pls1,1.2683334301000962e-11,0.6406660562845927,0.39,0.258,2.663500203210202e-7
Peli1,1.2811246358242457e-11,-0.29774668305386803,0.11,0.262,2.6903617352309157e-7
Aatk,1.3325247324082789e-11,-0.4051775947014713,0.435,0.667,2.7983019380573855e-7
Guk1,1.352186629290438e-11,-0.3159866462654817,0.371,0.637,2.83959192150992e-7
Edf1,1.3812067655556684e-11,-0.32416144300386707,0.703,0.893,2.900534207666904e-7
Hn1,1.5970334997985654e-11,-0.2976937273857884,0.091,0.232,3.353770349576987e-7
Ube2d3,1.6634926243882253e-11,-0.3651901229803527,0.376,0.616,3.493334511215273e-7
Slc39a1,1.744769096504863e-11,-0.4641575878268551,0.096,0.232,3.6640151026602126e-7
Sec14l1,1.8335268304576985e-11,-0.2935043938597208,0.129,0.288,3.850406343961167e-7
Inpp5f,1.865925099091806e-11,-0.4027792354361234,0.248,0.444,3.918442708092793e-7
Fbxo8,1.9028513788969023e-11,-0.2967940282803605,0.169,0.348,3.995987895683495e-7
Ctsl,1.992931677972717e-11,-0.587213472629087,0.513,0.742,4.1851565237427053e-7
Myef2,2.0931357138548333e-11,-0.32511247764996126,0.072,0.199,4.39558499909515e-7
Rab5a,2.1354106155239785e-11,-0.2853291358415757,0.143,0.315,4.484362292600355e-7
Jarid2,2.1959099339443097e-11,-0.2521122351057897,0.09,0.23,4.6114108612830504e-7
Hadhb,2.4855706754227992e-11,0.6323259789083872,0.408,0.294,5.219698418387878e-7
Dab1,2.6639282456175145e-11,-0.4008427148602093,0.073,0.197,5.59424931579678e-7
Ncald,2.997611405585194e-11,0.5208449831390194,0.49,0.361,6.294983951728907e-7
Rap2a,3.260391911782716e-11,-0.3269568273123998,0.111,0.26,6.846823014743703e-7
Enpp5,3.448124746569316e-11,0.5756519812352846,0.455,0.341,7.241061967795564e-7
St8sia3,3.5630541603636945e-11,-0.27810827416946876,0.042,0.146,7.482413736763759e-7
Tcf4,3.563668518880335e-11,-0.3161220288499118,0.584,0.826,7.483703889648704e-7
Atp1b3,3.929749325922213e-11,0.5268870805956647,0.642,0.569,8.252473584436646e-7
Ppap2c,4.154584319780547e-11,-0.3328893688605026,0.265,0.478,8.724627071539148e-7
Hspd1,4.210488666517552e-11,0.5648255324836673,0.547,0.466,8.842026199686858e-7
Slc25a46,4.334186274730112e-11,-0.2561164577692777,0.068,0.191,9.101791176933236e-7
