gene,cell_type,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Phb2,Astro,1.594941255139634e-20,-0.6634403474137253,0.191,0.44,3.3493766357932314e-16
Gria2,Astro,1.992876173526035e-20,0.7160620296474216,0.738,0.477,4.1850399644046733e-16
Ndrg2,Astro,2.2951010693659978e-20,0.4377345910019095,0.995,0.975,4.819712245668595e-16
Gstm5,Astro,3.347579183232421e-20,0.48605187338527234,0.997,0.985,7.029916284788085e-16
Ntm,Astro,4.8483259333775365e-20,0.5749865659239477,0.88,0.716,1.0181484460092827e-15
Acaa1a,Astro,5.701475021444445e-20,-0.6347303663005976,0.081,0.277,1.1973097545033335e-15
Tsen34,Astro,6.827042690704053e-20,-0.6146083509865155,0.091,0.291,1.4336789650478512e-15
Rheb,Astro,8.276531037160987e-20,-0.7994430168815121,0.335,0.553,1.7380715178038073e-15
Rorb,Astro,1.149160005593153e-19,0.7253943514869414,0.665,0.412,2.4132360117456215e-15
Tspan13,Astro,2.4093544227195505e-19,-0.8910398953827332,0.148,0.358,5.059644287711056e-15
Tubb2b,Astro,4.617353470072991e-19,0.5041100794567694,0.975,0.881,9.696442287153281e-15
Mtdh,Astro,6.630819334775436e-19,-0.6925385819223797,0.222,0.459,1.3924720603028414e-14
Ldhb,Astro,7.244112606534446e-19,0.36006099489236565,0.999,0.98,1.5212636473722337e-14
Tmem9b,Astro,8.084932723139632e-19,-0.6687509159458207,0.198,0.435,1.6978358718593227e-14
Wls,Astro,8.234328739495858e-19,0.8004444238873941,0.38,0.143,1.72920903529413e-14
Yeats4,Astro,1.6200818524432536e-18,-0.4961014096411467,0.048,0.21,3.402171890130833e-14
Fabp7,Astro,2.4581359805483157e-18,-0.9970918007626293,0.563,0.763,5.162085559151463e-14
Rab14,Astro,3.5792585777770216e-18,-0.597801146147412,0.458,0.681,7.516443013331746e-14
Mlf2,Astro,3.7642535294398934e-18,-0.6488621441600659,0.562,0.714,7.904932411823776e-14
Gm10071,Astro,4.658197598403826e-18,-0.467984193777489,0.024,0.158,9.782214956648034e-14
Abhd8,Astro,4.843173386121132e-18,-0.5814176373729173,0.081,0.264,1.0170664110854377e-13
